season,date,team1,team2,score1,score2,record1,record2,neutral,playoff,elo1,elo2,elo_prob1
1997,1998-01-01,Arkansas,Michigan,31,45,9-3,10-3,1,1,1300.0,1300.0,0.5
1997,1998-01-01,GeorgiaTech,NotreDame,35,28,10-2,9-3,1,1,1300.0,1300.0,0.5
1997,1998-01-01,Kentucky,PennState,14,26,7-5,9-3,1,1,1300.0,1300.0,0.5
1997,1998-01-01,MississippiState,Texas,11,38,8-5,9-3,1,1,1300.0,1300.0,0.5
1997,1998-01-01,OhioState,TexasAM,24,14,11-1,11-3,1,1,1300.0,1300.0,0.5
1997,1998-01-01,UCLA,Wisconsin,31,38,10-2,11-1,1,1,1300.0,1300.0,0.5
1997,1998-01-02,Florida,Syracuse,31,10,10-2,8-4,1,1,1300.0,1300.0,0.5
1997,1998-01-04,FloridaState,Tennessee,16,23,11-2,13-0,1,1,1300.0,1300.0,0.5
1998,1998-08-29,ColoradoState,MichiganState,23,16,1-0,0-1,1,1,1300.0,1300.0,0.5
1998,1998-08-29,LouisianaTech,Nebraska,27,56,0-1,1-0,1,1,1300.0,1300.0,0.5
1998,1998-08-30,Purdue,SouthernCalifornia,17,27,0-1,1-0,1,1,1300.0,1300.0,0.5
1998,1998-08-31,FloridaState,TexasAM,23,14,1-0,0-1,1,1,1354.4703897221345,1352.347364848011,0.50305524036566
1998,1998-09-03,Auburn,Virginia,0,19,0-1,1-0,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-03,EasternMichigan,NorthernIowa,10,13,0-1,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-03,Hawaii,Arizona,6,27,0-1,1-0,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-03,NorthCarolinaState,Ohio,34,31,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-03,WesternMichigan,NorthernIllinois,37,23,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,AirForce,WakeForest,42,0,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Akron,Marshall,16,27,0-1,1-0,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Alabama,BrighamYoung,38,31,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,ArizonaState,Washington,38,42,0-1,1-0,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Arkansas,Louisiana-Lafayette,38,17,1-0,0-1,0,0,1350.2796653259852,1300.0,0.6600693092129509
1998,1998-09-05,BoiseState,NorthridgeState,26,13,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,California,Houston,14,10,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Cincinnati,Tulane,34,52,0-1,1-0,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Clemson,Furman,33,0,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,Colorado,ColoradoState,42,14,1-0,1-1,1,0,1300.0,1320.7944154167983,0.47011011224026533
1998,1998-09-05,Duke,WesternCarolina,24,10,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,Florida,Citadel,49,10,1-0,non-IA,0,0,1388.940283022389,1100.0,0.8846727485169401
1998,1998-09-05,Georgia,Kent,56,3,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,GeorgiaTech,BostonCollege,31,41,0-1,1-0,0,0,1382.1962769445322,1300.0,0.7000067246198883
1998,1998-09-05,Idaho,EasternWashington,31,14,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,Iowa,CentralMichigan,38,0,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,IowaState,TexasChristian,21,31,0-1,1-0,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Kansas,OklahomaState,28,38,0-1,1-0,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,KansasState,IndianaState,66,0,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,Louisiana-Monroe,NichollsState,44,10,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,LouisianaTech,CentralFlorida,30,64,0-2,1-0,0,0,1265.9880261833785,1300.0,0.5444774777823629
1998,1998-09-05,Louisville,Kentucky,34,68,0-1,1-0,0,0,1300.0,1351.2336709502565,0.5198009788918884
1998,1998-09-05,Maryland,JamesMadison,23,15,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,MiamiFlorida,EastTennesseeState,66,17,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,Minnesota,ArkansasState,17,14,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Mississippi,Memphis,30,10,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,MississippiState,Vanderbilt,42,0,1-0,0-1,0,0,1346.118636598832,1300.0,0.6546744040106051
1998,1998-09-05,Missouri,BowlingGreenState,37,0,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Nebraska,Alabama-Birmingham,38,7,2-0,0-1,0,0,1334.0119738166215,1300.0,0.6387536539520668
1998,1998-09-05,NewMexico,IdahoState,38,9,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,NorthCarolina,MiamiOhio,10,13,0-1,1-0,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Northwestern,Nevada-LasVegas,41,7,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,NotreDame,Michigan,36,20,1-0,0-1,0,0,1354.4703897221345,1386.3870013406815,0.5474674447151092
1998,1998-09-05,Oklahoma,NorthTexas,37,9,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Oregon,MichiganState,48,14,1-0,0-2,0,0,1300.0,1279.2055845832017,0.6210182350092034
1998,1998-09-05,OregonState,Nevada,48,6,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,PennState,SouthernMississippi,34,6,1-0,0-1,0,0,1385.4329957164105,1300.0,0.7039047662506861
1998,1998-09-05,Pittsburgh,Villanova,48,41,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,Rice,SouthernMethodist,23,17,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Rutgers,Richmond,7,6,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,SanDiegoState,Wisconsin,14,26,0-1,1-0,0,0,1300.0,1382.1962769445322,0.4752727566459506
1998,1998-09-05,SouthCarolina,BallState,38,20,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Stanford,SanJoseState,23,35,0-1,1-0,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Syracuse,Tennessee,33,34,0-1,1-0,0,0,1347.726383644278,1382.1962769445322,0.5438236170397173
1998,1998-09-05,Texas,NewMexicoState,66,36,1-0,0-1,0,0,1390.5480300678348,1300.0,0.7100046103144847
1998,1998-09-05,TexasTech,Texas-ElPaso,35,3,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Toledo,Temple,24,12,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,Tulsa,MissouriState,49,14,1-0,non-IA,0,0,1300.0,1100.0,0.821341471737012
1998,1998-09-05,UtahState,Utah,12,20,0-1,1-0,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,VirginiaTech,EastCarolina,38,3,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,WashingtonState,Illinois,20,13,1-0,0-1,0,0,1300.0,1300.0,0.5924662305843318
1998,1998-09-05,WestVirginia,OhioState,17,34,0-1,1-0,0,0,1300.0,1384.3193018186557,0.47222590935185527
1998,1998-09-10,WakeForest,Navy,26,14,1-1,0-1,0,0,1270.2234407639246,1300.0,0.5505176485020571
1998,1998-09-12,Akron,Temple,35,28,1-1,0-2,1,0,1269.659098758422,1279.6938838321014,0.4855627976808744
1998,1998-09-12,Alabama,Vanderbilt,32,7,2-0,0-2,1,0,1316.462462070399,1275.2721904255236,0.5590013967654412
1998,1998-09-12,Army,MiamiOhio,13,14,0-1,2-0,0,0,1300.0,1316.9267607320714,0.568744802245077
1998,1998-09-12,BallState,EasternMichigan,7,13,0-2,1-1,0,0,1276.6895514773769,1274.1088753301246,0.5960481208602416
1998,1998-09-12,BoiseState,WashingtonState,21,33,1-1,2-0,0,0,1308.4160504399479,1316.462462070399,0.5812364512056699
1998,1998-09-12,BostonCollege,Rutgers,41,14,2-0,1-1,0,0,1335.9780543409024,1302.2104717349018,0.6384289684830552
1998,1998-09-12,BrighamYoung,ArizonaState,26,6,1-1,0-2,0,0,1283.537537929601,1280.3486393503836,0.5968908395410335
1998,1998-09-12,California,Nebraska,3,24,1-1,3-0,0,0,1312.7415510640924,1357.9732735412613,0.5284181783398595
1998,1998-09-12,CentralFlorida,EasternIllinois,48,0,2-0,non-IA,0,0,1339.2692648151146,1100.0,0.8521437460025093
1998,1998-09-12,CentralMichigan,WesternIllinois,35,14,1-1,non-IA,0,0,1270.9964221483924,1100.0,0.7955165500199637
1998,1998-09-12,Cincinnati,MiamiFlorida,12,38,0-2,2-0,0,0,1264.0481736863785,1312.4755845833479,0.5238318010689094
1998,1998-09-12,Clemson,VirginiaTech,0,37,1-1,2-0,0,0,1311.2456928129475,1328.3698980810173,0.5684660062774323
1998,1998-09-12,Colorado,FresnoState,29,21,2-0,0-1,0,0,1336.0264423738852,1300.0,0.6414251218912445
1998,1998-09-12,EastCarolina,Tennessee-Chattanooga,31,0,1-1,non-IA,0,0,1271.6301019189827,1100.0,0.7961092904315642
1998,1998-09-12,Florida,Louisiana-Monroe,42,10,2-0,1-1,0,0,1396.2696816689543,1311.338135129269,0.7033027844860624
1998,1998-09-12,GeorgiaTech,NewMexicoState,42,7,1-1,0-2,0,0,1346.2182226036298,1281.3983924027705,0.6785907557714757
1998,1998-09-12,Houston,Minnesota,7,14,0-2,2-0,0,0,1287.2584489359076,1310.9749747135993,0.559133654161842
1998,1998-09-12,Illinois,MiddleTennesseeState,48,20,1-1,non-IA,0,0,1283.537537929601,1300.0,0.5694002300569362
1998,1998-09-12,Indiana,WesternMichigan,45,30,1-0,1-1,0,0,1300.0,1321.4390127478014,0.5623628647583421
1998,1998-09-12,Iowa,IowaState,9,27,1-1,1-1,0,0,1329.0035778516076,1270.7215143611818,0.6703279292871552
1998,1998-09-12,KansasState,NorthernIllinois,73,7,2-0,0-2,0,0,1313.4089186969006,1278.5609872521986,0.639863304167239
1998,1998-09-12,Kent,YoungstownState,10,24,0-2,non-IA,0,0,1268.4201275920736,1100.0,0.7930935237166414
1998,1998-09-12,Kentucky,EasternKentucky,52,7,2-0,non-IA,0,0,1388.4278788694187,1100.0,0.8843714647976121
1998,1998-09-12,Louisiana-Lafayette,NorthwesternState,22,24,0-2,non-IA,0,0,1280.0315403210407,1100.0,0.8038471489314329
1998,1998-09-12,LouisianaState,ArkansasState,42,6,1-0,0-2,0,0,1300.0,1289.0250252864007,0.6076267190645283
1998,1998-09-12,Marshall,Troy,42,12,2-0,non-IA,0,0,1330.340901241578,1300.0,0.6338632512092467
1998,1998-09-12,Memphis,MississippiState,6,14,0-2,2-0,0,0,1275.8972136754508,1370.8464461733083,0.4570060271720495
1998,1998-09-12,Michigan,Syracuse,28,38,0-2,1-1,0,0,1361.1244713515882,1340.0812941440126,0.6213552014952847
1998,1998-09-12,MichiganState,NotreDame,45,23,1-2,1-1,0,0,1253.2688112346748,1379.7329197112279,0.41245739430089856
1998,1998-09-12,Mississippi,Auburn,0,17,1-1,1-1,0,0,1324.1027863245492,1263.421878618312,0.6733723176444503
