team,elo
AirForce,1300.0
Akron,1300.0
Alabama,1300.0
Alabama-Birmingham,1300.0
AppalachianState,1300.0
Arizona,1300.0
ArizonaState,1300.0
Arkansas,1300.0
ArkansasState,1300.0
Army,1300.0
Auburn,1300.0
BallState,1300.0
Baylor,1300.0
BoiseState,1300.0
BostonCollege,1300.0
BowlingGreenState,1300.0
BrighamYoung,1300.0
Buffalo,1300.0
California,1300.0
CentralFlorida,1300.0
CentralMichigan,1300.0
Charlotte,1300.0
Cincinnati,1300.0
Clemson,1300.0
Colorado,1300.0
ColoradoState,1300.0
Connecticut,1300.0
Duke,1300.0
EastCarolina,1300.0
EasternMichigan,1300.0
Florida,1300.0
FloridaAtlantic,1300.0
FloridaInternational,1300.0
FloridaState,1300.0
FresnoState,1300.0
Georgia,1300.0
GeorgiaSouthern,1300.0
GeorgiaState,1300.0
GeorgiaTech,1300.0
Hawaii,1300.0
Houston,1300.0
Idaho,1300.0
Illinois,1300.0
Indiana,1300.0
Iowa,1300.0
IowaState,1300.0
Kansas,1300.0
KansasState,1300.0
Kent,1300.0
Kentucky,1300.0
Louisiana-Lafayette,1300.0
Louisiana-Monroe,1300.0
LouisianaState,1300.0
LouisianaTech,1300.0
Louisville,1300.0
Marshall,1300.0
Maryland,1300.0
Massachusetts,1300.0
Memphis,1300.0
MiamiFlorida,1300.0
MiamiOhio,1300.0
Michigan,1300.0
MichiganState,1300.0
MiddleTennesseeState,1300.0
Minnesota,1300.0
Mississippi,1300.0
MississippiState,1300.0
Missouri,1300.0
Navy,1300.0
Nebraska,1300.0
Nevada,1300.0
Nevada-LasVegas,1300.0
NewMexico,1300.0
NewMexicoState,1300.0
NorthCarolina,1300.0
NorthCarolinaState,1300.0
NorthTexas,1300.0
NorthernIllinois,1300.0
Northwestern,1300.0
NotreDame,1300.0
Ohio,1300.0
OhioState,1300.0
Oklahoma,1300.0
OklahomaState,1300.0
OldDominion,1300.0
Oregon,1300.0
OregonState,1300.0
PennState,1300.0
Pittsburgh,1300.0
Purdue,1300.0
Rice,1300.0
Rutgers,1300.0
SanDiegoState,1300.0
SanJoseState,1300.0
SouthAlabama,1300.0
SouthCarolina,1300.0
SouthFlorida,1300.0
SouthernCalifornia,1300.0
SouthernMethodist,1300.0
SouthernMississippi,1300.0
Stanford,1300.0
Syracuse,1300.0
Temple,1300.0
Tennessee,1300.0
Texas,1300.0
TexasAM,1300.0
TexasChristian,1300.0
Texas-ElPaso,1300.0
Texas-SanAntonio,1300.0
TexasState,1300.0
TexasTech,1300.0
Toledo,1300.0
Troy,1300.0
Tulane,1300.0
Tulsa,1300.0
UCLA,1300.0
Utah,1300.0
UtahState,1300.0
Vanderbilt,1300.0
Virginia,1300.0
VirginiaTech,1300.0
WakeForest,1300.0
Washington,1300.0
WashingtonState,1300.0
WestVirginia,1300.0
WesternKentucky,1300.0
WesternMichigan,1300.0
Wisconsin,1300.0
Wyoming,1300.0
